Verb,Meaning,URL
замечать,"to notice, observe",zamechat_zametit.htm
замолчать,to keep silence,molchat_zamolchat.htm
занимать,to borrow; occupy,zanimat_zanyat.htm
заниматься,"to be occupied, engage",zanimatsa_zanyatsa.htm
занять,to borrow; occupy,zanimat_zanyat.htm
заняться,"to be occupied, engage",zanimatsa_zanyatsa.htm
заплатить,to pay,platit_zaplatit.htm
запоминать,"to memorize, remember",zapominat_zapomnit.htm
запомнить,"to memorize, remember",zapominat_zapomnit.htm
заправить,to fuel; to control; to run the show,zapravlyat_zapravit.htm
заправлять,to fuel; to control; to run the show,zapravlyat_zapravit.htm
запретить,"to prohibit, ban, forbid",zapreschat_zapretit.htm
запрещать,"to prohibit, ban, forbid",zapreschat_zapretit.htm
засмеяться,to laugh,smeyatsa_zasmeyatsa.htm
заснуть,to fall asleep,zasipat_zasnut.htm
заставить,"to force, compel",zastavlyat_zastavit.htm
заставлять,"to force, compel",zastavlyat_zastavit.htm
застёгивать,"to fasten, clasp, zip up",zastyogivat_zastegnut.htm
застегнуть,"to fasten, clasp, zip up",zastyogivat_zastegnut.htm
засыпа́ть,to fall asleep,zasipat_zasnut.htm
захватить,"to seize, capture",zakhvativat_zakhvatit.htm
захватывать,"to seize, capture",zakhvativat_zakhvatit.htm
заходить,"to call in, drop in",zakhodit_zayti.htm
захотеть,"to want, like",khotet_zakhotet.htm
звать,to call,zvat_pozvat.htm
звонить,"to ring, call",zvonit_pozvonit.htm
звучать,"to sound, ring",zvuchat_prozvuchat.htm
здороваться,to greet,zdorovatsa_pozdorovatsa.htm
знакомиться,to meet,znakomitsa_poznakomitsa.htm
знать,"to know, be aware",znat_uznat.htm
значить,"to mean, signify",znachit.htm
играть,to play,igrat_sigrat.htm
играть,to play,igrat_poigrat.htm
идти,to go,idti_poiti.htm
избегать,to avoid,izbegat_izbezhat.htm
избежать,to avoid,izbegat_izbezhat.htm
избирать,"to elect, choose",izbirat_izbrat.htm
избрать,"to elect, choose",izbirat_izbrat.htm
извинить,"to excuse, pardon",izvinyat_izvinit.htm
извинять,"to excuse, pardon",izvinyat_izvinit.htm
издавать,to publish; to utter; to produce,izdavat_izdat.htm
издать,to publish; to utter; to produce,izdavat_izdat.htm
изменить,to change,izmenyat_izmenit.htm
измениться,to change,izmenyatsa_izmenitsa.htm
изменять,to change,izmenyat_izmenit.htm
изменяться,to change,izmenyatsa_izmenitsa.htm
измерить,"to measure, gage, meter",izmeryat_izmerit.htm
измерить,"to measure, meter",merit_izmerit.htm
измерять,"to measure, gage, meter",izmeryat_izmerit.htm
изображать,"to depict, portray; to express",izobrazhat_izobrazit.htm
изобразить,"to depict, portray; to express",izobrazhat_izobrazit.htm
изобрести,"to invent, think up, contrive",izobretat_izobresti.htm
изобретать,"to invent, think up, contrive",izobretat_izobresti.htm
иметь,"to have, possess",imet.htm
искать,"to find, discover",iskat_poiskat.htm
исполнить,"to execute, fulfill, carry out",ispolnyat_ispolnit.htm
исполнять,"to execute, fulfill, carry out",ispolnyat_ispolnit.htm
